H0_true,H0_inferred_gr,delta_H0_inferred_minus_true,omega_m_true,omega_m_assumed,omega_k_true,r_d_true,r_d_assumed,theta_star_true,theta_star_obs,A_lens_true,A_lens_obs,relief_fraction,rd_shift_needed_frac_for_H0local
7.030141594813895267e+01,6.381867692454498808e+01,-6.482739023593964589e+00,3.022079289841542726e-01,3.439319011996754272e-01,0.000000000000000000e+00,1.407123868196202920e+02,1.470900000000000034e+02,1.040484407999258364e-02,1.040484407999258364e-02,1.044914975199319862e+00,1.044914975199319862e+00,-6.395219777598251110e-01,-1.248049071208260363e-01
7.018623982938993322e+01,7.301060830158516524e+01,2.824368472195232016e+00,3.933273466748145597e-01,3.206476507030633916e-01,0.000000000000000000e+00,1.409244638754067580e+02,1.470900000000000034e+02,1.156158953830078821e-02,1.156158953830078821e-02,1.008924699792306257e+00,1.008924699792306257e+00,9.981056604312205094e-01,1.441864261708669659e-04
7.326599065473904204e+01,9.161430759098094256e+01,1.834831693624190052e+01,3.926134177311264017e-01,2.066828691540278373e-01,0.000000000000000000e+00,1.423084740255496570e+02,1.470900000000000034e+02,1.217506004023099359e-02,1.217506004023099359e-02,8.100222790469836509e-01,8.100222790469836509e-01,-2.323983498389457392e+00,2.521865237152896011e-01
7.279358128413517193e+01,8.663850783931818000e+01,1.384492655518300808e+01,3.829953259319710535e-01,2.181104968847254189e-01,0.000000000000000000e+00,1.397849869095375652e+02,1.470900000000000034e+02,1.176425785794438759e-02,1.176425785794438759e-02,8.321143405954047889e-01,8.321143405954047889e-01,-1.435447828449677665e+00,1.848402231948353958e-01
7.650875346355215356e+01,7.439065244652691433e+01,-2.118101017025239230e+00,3.811657959517944505e-01,3.211706432035172920e-01,0.000000000000000000e+00,1.335435319760798336e+02,1.470900000000000034e+02,1.178610312283027636e-02,1.178610312283027636e-02,1.009747168108546811e+00,1.009747168108546811e+00,7.516692059773364409e-01,1.890287201948459561e-02
6.813917340353680174e+01,7.127474431824553847e+01,3.135570914708736723e+00,3.925242089264144862e-01,3.592419165194877806e-01,0.000000000000000000e+00,1.484218197989400778e+02,1.470900000000000034e+02,1.181425082764559452e-02,1.181425082764559452e-02,1.067918783725286369e+00,1.067918783725286369e+00,6.919186282581315517e-01,-2.346732111090021888e-02
6.579417917907244373e+01,6.730069516111971950e+01,1.506515982047275770e+00,3.813076261662655120e-01,3.773442980130611302e-01,0.000000000000000000e+00,1.498005010560569872e+02,1.470900000000000034e+02,1.138299753329733918e-02,1.138299753329733918e-02,1.094494589475283997e+00,1.094494589475283997e+00,-1.773300694290824708e-02,-7.753673082505452285e-02
6.845473925450485808e+01,8.266576944536525673e+01,1.421103019086039865e+01,3.757553948232683627e-01,2.527286192801594389e-01,0.000000000000000000e+00,1.514392749707770918e+02,1.470900000000000034e+02,1.189879219122075803e-02,1.189879219122075803e-02,8.957193070822306868e-01,8.957193070822306868e-01,-7.260302581009403511e-01,1.311654199865048831e-01
7.104071461100059537e+01,7.636651961242249342e+01,5.325805001421898055e+00,3.708523252962953043e-01,2.943215936979616254e-01,0.000000000000000000e+00,1.440804217732252255e+02,1.470900000000000034e+02,1.168318823646914695e-02,1.168318823646914695e-02,9.666200213671424235e-01,9.666200213671424235e-01,3.988357834959826986e-01,4.573253529112486504e-02
6.839416437937705950e+01,7.116270652720129419e+01,2.768542147824234689e+00,2.811912255152577700e-01,2.682328220643855898e-01,0.000000000000000000e+00,1.501586512942536160e+02,1.470900000000000034e+02,1.050045167079114924e-02,1.050045167079114924e-02,9.227853317312577630e-01,9.227853317312577630e-01,6.719118798573735507e-01,-2.493258445031221182e-02
7.197286362460479836e+01,7.722671337341535036e+01,5.253849748810552001e+00,3.375520771384215579e-01,2.534651782414220067e-01,0.000000000000000000e+00,1.407693248882328305e+02,1.470900000000000034e+02,1.113501625646553563e-02,1.113501625646553563e-02,8.970236114487609713e-01,8.970236114487609713e-01,2.452297547472580552e-01,5.734457772449053081e-02
7.173400698205571757e+01,7.642887970400396114e+01,4.694872721948243566e+00,3.417881180663340235e-01,2.775608481827456786e-01,0.000000000000000000e+00,1.441745175963255008e+02,1.470900000000000034e+02,1.142370086434808113e-02,1.142370086434808113e-02,9.386935334743148340e-01,9.386935334743148340e-01,3.877000528564349402e-01,4.655670911276454937e-02
7.072543694909015244e+01,7.075593847274669201e+01,3.050152365653957531e-02,3.237408460275534861e-01,2.964190469377673831e-01,0.000000000000000000e+00,1.420773659270105043e+02,1.470900000000000034e+02,1.086233847769311166e-02,1.086233847769311166e-02,9.700581670299385229e-01,9.700581670299385229e-01,5.992747272761945743e-01,-3.047857478955429134e-02
6.811091418831931321e+01,6.834792598136695574e+01,2.370117930476425272e-01,3.339877368621733122e-01,3.440499027885756678e-01,0.000000000000000000e+00,1.493598991984025020e+02,1.470900000000000034e+02,1.113816485824189843e-02,1.113816485824189843e-02,1.045094212793529209e+00,1.045094212793529209e+00,1.692724966726698588e-01,-6.325099783797860642e-02
7.163462174615958133e+01,7.485677182837724786e+01,3.222150082217666522e+00,3.726566273312644784e-01,3.127796283267377797e-01,0.000000000000000000e+00,1.432450971405876317e+02,1.470900000000000034e+02,1.173476524388684418e-02,1.173476524388684418e-02,9.964693678368959917e-01,9.964693678368959917e-01,6.684336020754910734e-01,2.523405871819583979e-02
7.082740820979179830e+01,7.646072217014344119e+01,5.633313960351642891e+00,3.542300674246464665e-01,2.698736890066788519e-01,0.000000000000000000e+00,1.423957961905187801e+02,1.470900000000000034e+02,1.130204897756197785e-02,1.130204897756197785e-02,9.256035165568857748e-01,9.256035165568857748e-01,3.820138981886705976e-01,4.697752562314483349e-02
7.026903421157908269e+01,8.297920185681122973e+01,1.271016764523214704e+01,3.820533644903917336e-01,2.500934385631549683e-01,0.000000000000000000e+00,1.465173224059434176e+02,1.470900000000000034e+02,1.189425211487817220e-02,1.189425211487817220e-02,8.910372741978958011e-01,8.910372741978958011e-01,-7.820003315734356253e-01,1.354073595183848955e-01
7.430291017942985832e+01,7.805282938376234370e+01,3.749919204332485378e+00,3.817014847062430993e-01,2.798767356382720894e-01,0.000000000000000000e+00,1.364356455342548315e+02,1.470900000000000034e+02,1.170292827963904242e-02,1.170292827963904242e-02,9.426014923894574515e-01,9.426014923894574515e-01,9.770903861386626144e-02,6.861617875672387790e-02
7.413522867731531107e+01,7.750539017177862888e+01,3.370161494463317808e+00,3.947239806956284736e-01,3.076677336767763560e-01,0.000000000000000000e+00,1.391036257155649594e+02,1.470900000000000034e+02,1.206727207281901686e-02,1.206727207281901686e-02,9.882929545702826557e-01,9.882929545702826557e-01,1.954660407538154621e-01,6.122826799250069563e-02
7.137554445735297293e+01,8.057822519665195671e+01,9.202680739298983781e+00,3.866494505317269459e-01,2.560848791589527274e-01,0.000000000000000000e+00,1.407556932238899492e+02,1.470900000000000034e+02,1.166126655971891184e-02,1.166126655971891184e-02,9.016473092877735906e-01,9.016473092877735906e-01,-3.532544994021364904e-01,1.028405393131381906e-01
7.268185657587881110e+01,8.357869950428185746e+01,1.089684292840304636e+01,3.745909820011106839e-01,2.373211161806453584e-01,0.000000000000000000e+00,1.408998250454204992e+02,1.470900000000000034e+02,1.173464518700773930e-02,1.173464518700773930e-02,8.679863874666732260e-01,8.679863874666732260e-01,-8.890534829074765444e-01,1.434739411602830028e-01
6.693152300208410566e+01,7.383531542534097980e+01,6.903792423256874144e+00,3.595159505856638793e-01,2.995330090577226212e-01,0.000000000000000000e+00,1.507332964571034495e+02,1.470900000000000034e+02,1.137811657378117076e-02,1.137811657378117076e-02,9.751402163038338511e-01,9.751402163038338511e-01,8.508365311891106231e-01,1.134774229394985845e-02
6.847338687764454335e+01,7.113136944025779940e+01,2.657982562613256050e+00,3.784856752890185527e-01,3.272109336814048031e-01,0.000000000000000000e+00,1.440950091448946466e+02,1.470900000000000034e+02,1.135783886721978241e-02,1.135783886721978241e-02,1.019198149934475328e+00,1.019198149934475328e+00,6.663159714746067497e-01,-2.540002681773223525e-02
7.020417135543671350e+01,6.865836828454924046e+01,-1.545803070887473041e+00,2.477856839050318893e-01,2.458525235915990370e-01,0.000000000000000000e+00,1.434446665074127623e+02,1.470900000000000034e+02,9.793076510838553267e-03,9.793076510838553267e-03,8.834501694369027991e-01,8.834501694369027991e-01,2.247086222409350187e-01,-5.886014511527892790e-02
7.395215789714657717e+01,7.853141477011783422e+01,4.579256872971257053e+00,3.342459091419994754e-01,2.428296268337896413e-01,0.000000000000000000e+00,1.375321573195799942e+02,1.470900000000000034e+02,1.113193421235922700e-02,1.113193421235922700e-02,8.780021094702750162e-01,8.780021094702750162e-01,1.224736247895719110e-02,7.501956904313655805e-02
7.376508694020017742e+01,6.678081397803919117e+01,-6.984272962160986253e+00,2.737542194914570071e-01,2.957752448165347769e-01,0.000000000000000000e+00,1.374351233203677225e+02,1.470900000000000034e+02,1.024879574304185872e-02,1.024879574304185872e-02,9.690041440384055127e-01,9.690041440384055127e-01,-1.105689324930028139e-01,-8.444992086468938730e-02
7.141087122734458603e+01,7.022357242405215061e+01,-1.187298803292435423e+00,2.836074654729403566e-01,2.760575766368705830e-01,0.000000000000000000e+00,1.431306936445328972e+02,1.470900000000000034e+02,1.048160831925938792e-02,1.048160831925938792e-02,9.361480968119673118e-01,9.361480968119673118e-01,5.042093614378835298e-01,-3.768489329703050839e-02
6.942125647922603093e+01,7.942045294320894300e+01,9.999196463982912064e+00,3.629076367293982974e-01,2.646117891810983447e-01,0.000000000000000000e+00,1.482166592119613142e+02,1.470900000000000034e+02,1.164480313025529137e-02,1.164480313025529137e-02,9.165355563052318688e-01,9.165355563052318688e-01,-1.465094541444553755e-01,8.715047790233776404e-02
6.794592512346224566e+01,7.324365050241256370e+01,5.297725378950318031e+00,3.996493501448631913e-01,3.417645438158206650e-01,0.000000000000000000e+00,1.488099536566896859e+02,1.470900000000000034e+02,1.189781708891414144e-02,1.189781708891414144e-02,1.041617398935190009e+00,1.041617398935190009e+00,9.564909817120421653e-01,3.313275160846451683e-03
7.717874620364190719e+01,7.340305897691946768e+01,-3.775687226722439505e+00,3.628375634481109668e-01,3.151775042830212148e-01,0.000000000000000000e+00,1.322682928623096359e+02,1.470900000000000034e+02,1.154372807950462994e-02,1.154372807950462994e-02,1.000281713149043128e+00,1.000281713149043128e+00,9.280251826929520886e-01,5.477676124600705521e-03
