event,tier,radius_arcsec,k,frac_weight_conflict_true
GW200308_173609,B,1.0,20000,0.0008913034520729786
GW200308_173609,B,2.0,20000,0.001256235559987143
GW200308_173609,B,3.0,20000,0.001577469489651808
GW200308_173609,B,5.0,20000,0.0018260518526438398
GW200308_173609,B,10.0,20000,0.002587125844844753
GW200308_173609,B,15.0,20000,0.004039936005483075
GW200308_173609,B,20.0,20000,0.005726749142714604
GW200308_173609,B,30.0,20000,0.011271992777971153
GW200308_173609,B,45.0,20000,0.02310306968321761
GW200308_173609,B,60.0,20000,0.03952584710612243
GW200220_061928,B,1.0,100000,0.0028434256722363964
GW200220_061928,B,2.0,100000,0.003783243842322138
GW200220_061928,B,3.0,100000,0.004265125347998079
GW200220_061928,B,5.0,100000,0.004990951931335356
GW200220_061928,B,10.0,100000,0.007639798431307241
GW200220_061928,B,15.0,100000,0.011025492227972436
GW200220_061928,B,20.0,100000,0.014610909288587043
GW200220_061928,B,30.0,100000,0.025080691685662754
GW200220_061928,B,45.0,100000,0.04546271315063178
GW200220_061928,B,60.0,100000,0.07207142290893272
GW200219_094415,B,1.0,200000,0.0009091946143061962
GW200219_094415,B,2.0,200000,0.0014281912606835645
GW200219_094415,B,3.0,200000,0.0017253145274809185
GW200219_094415,B,5.0,200000,0.001965952020342426
GW200219_094415,B,10.0,200000,0.0027083269949899685
GW200219_094415,B,15.0,200000,0.004160266527530439
GW200219_094415,B,20.0,200000,0.006095188863589769
GW200219_094415,B,30.0,200000,0.012081286789108733
GW200219_094415,B,45.0,200000,0.02625103400938375
GW200219_094415,B,60.0,200000,0.0467000686990239
GW200208_130117,B,1.0,5000,0.0
GW200208_130117,B,2.0,5000,0.0
GW200208_130117,B,3.0,5000,0.0
GW200208_130117,B,5.0,5000,0.0
GW200208_130117,B,10.0,5000,0.0
GW200208_130117,B,15.0,5000,0.0
GW200208_130117,B,20.0,5000,0.0
GW200208_130117,B,30.0,5000,5.7500149971332785e-05
GW200208_130117,B,45.0,5000,0.00016777756346985563
GW200208_130117,B,60.0,5000,0.00045533818709952805
GW191230_180458,B,1.0,200000,0.0005202016467464485
GW191230_180458,B,2.0,200000,0.000546290532577675
GW191230_180458,B,3.0,200000,0.0005548283697811284
GW191230_180458,B,5.0,200000,0.0005763923189401534
GW191230_180458,B,10.0,200000,0.0006466162222353944
GW191230_180458,B,15.0,200000,0.000777512846000178
GW191230_180458,B,20.0,200000,0.0009822138082143158
GW191230_180458,B,30.0,200000,0.0014900095676231274
GW191230_180458,B,45.0,200000,0.0029661893636521207
GW191230_180458,B,60.0,200000,0.0054854072262244015
GW200308_173609,C,1.0,20000,0.0026829326097101962
GW200308_173609,C,2.0,20000,0.003318509416756556
GW200308_173609,C,3.0,20000,0.0036775874738812658
GW200308_173609,C,5.0,20000,0.003964733387630443
GW200308_173609,C,10.0,20000,0.004982984811863007
GW200308_173609,C,15.0,20000,0.007154423168809752
GW200308_173609,C,20.0,20000,0.009818630703262249
GW200308_173609,C,30.0,20000,0.017014755342844443
GW200308_173609,C,45.0,20000,0.034275988127913076
GW200308_173609,C,60.0,20000,0.05841174727494122
GW200220_061928,C,1.0,100000,0.0062435187220921
GW200220_061928,C,2.0,100000,0.007428579528821554
GW200220_061928,C,3.0,100000,0.007987417527125864
GW200220_061928,C,5.0,100000,0.008853838487985174
GW200220_061928,C,10.0,100000,0.01202914730341062
GW200220_061928,C,15.0,100000,0.016754182974858145
GW200220_061928,C,20.0,100000,0.022418890811377365
GW200220_061928,C,30.0,100000,0.03817660229676816
GW200220_061928,C,45.0,100000,0.06998319384562508
GW200220_061928,C,60.0,100000,0.11066539591561823
GW200219_094415,C,1.0,200000,0.010928075336702496
GW200219_094415,C,2.0,200000,0.011997771296888478
GW200219_094415,C,3.0,200000,0.012274599457993102
GW200219_094415,C,5.0,200000,0.012465718959956365
GW200219_094415,C,10.0,200000,0.013176541787035772
GW200219_094415,C,15.0,200000,0.0146527332709852
GW200219_094415,C,20.0,200000,0.016778144671847746
GW200219_094415,C,30.0,200000,0.023186810627750645
GW200219_094415,C,45.0,200000,0.03859432251977752
GW200219_094415,C,60.0,200000,0.0609388470910739
GW200208_130117,C,1.0,5000,0.0
GW200208_130117,C,2.0,5000,0.0
GW200208_130117,C,3.0,5000,0.0
GW200208_130117,C,5.0,5000,0.0
GW200208_130117,C,10.0,5000,0.0
GW200208_130117,C,15.0,5000,0.0
GW200208_130117,C,20.0,5000,0.0
GW200208_130117,C,30.0,5000,5.7500149971332785e-05
GW200208_130117,C,45.0,5000,0.00016777756346985563
GW200208_130117,C,60.0,5000,0.00045533818709952805
GW191230_180458,C,1.0,200000,0.0005877170698219234
GW191230_180458,C,2.0,200000,0.0006185396699715098
GW191230_180458,C,3.0,200000,0.0006288451934702113
GW191230_180458,C,5.0,200000,0.0006540539087766221
GW191230_180458,C,10.0,200000,0.0007348355201811154
GW191230_180458,C,15.0,200000,0.0008721635488342476
GW191230_180458,C,20.0,200000,0.0010952471704948309
GW191230_180458,C,30.0,200000,0.0016241297127880118
GW191230_180458,C,45.0,200000,0.003285545145343424
GW191230_180458,C,60.0,200000,0.006264290426330623
