event,tier,radius_arcsec,k,k_used,weight_total,weight_topk,cum_weight_frac_at_k,frac_weight_true,frac_weight_shift_ra,frac_weight_shift_dec,frac_weight_rand_rot
GW200308_173609,A,20.0,1000,1000,0.29777197748631556,0.0564464900249044,0.1895628007088023,0.007929828215818394,0.0015005834708489633,0.0013150104171718684,0.003004202765032347
GW200308_173609,A,20.0,5000,5000,0.29777197748631556,0.1632609487257952,0.5482750596748078,0.030902900909089735,0.0061882249314629805,0.005779040376628332,0.007855759037719266
GW200308_173609,A,20.0,20000,20000,0.29777197748631556,0.2977719774863152,0.9999999999999987,0.06994323207441168,0.014189570772784455,0.014374220843116244,0.014198851020473318
GW200308_173609,A,30.0,200,200,0.29777197748631556,0.017171999996227667,0.05766828746340587,0.002546021425086966,0.001220047534526292,0.0006357685166623279,0.0031403675087464207
GW200308_173609,A,30.0,1000,1000,0.29777197748631556,0.0564464900249044,0.1895628007088023,0.009565327120137499,0.005128091683913475,0.003147479927301512,0.00693566854189773
GW200308_173609,A,30.0,5000,5000,0.29777197748631556,0.1632609487257952,0.5482750596748078,0.03565595700622585,0.015226826307625944,0.013276350631126381,0.017639926092327382
GW200308_173609,A,30.0,20000,20000,0.29777197748631556,0.2977719774863152,0.9999999999999987,0.08131428035261354,0.030536503806977054,0.02995214605776356,0.032359894856453617
GW200308_173609,A,45.0,200,200,0.29777197748631556,0.017171999996227667,0.05766828746340587,0.002546021425086966,0.001856954557547686,0.0015839046991866976,0.0042487520749761335
GW200308_173609,A,45.0,1000,1000,0.29777197748631556,0.0564464900249044,0.1895628007088023,0.01059210126533311,0.008349656426592003,0.007198465997370316,0.013511887541037377
GW200308_173609,A,45.0,5000,5000,0.29777197748631556,0.1632609487257952,0.5482750596748078,0.045486769588226096,0.02987386920423323,0.027506770429286696,0.03626239229526026
GW200308_173609,A,45.0,20000,20000,0.29777197748631556,0.2977719774863152,0.9999999999999987,0.10503420840686122,0.06423084439734711,0.06085494773048134,0.0682573746437433
GW200308_173609,A,60.0,200,200,0.29777197748631556,0.017171999996227667,0.05766828746340587,0.004435681971640151,0.003103690268422045,0.0020739159748770363,0.0067491655709187165
GW200308_173609,A,60.0,1000,1000,0.29777197748631556,0.0564464900249044,0.1895628007088023,0.015393905188745534,0.013979210715645245,0.011278410762855049,0.021126282726333247
GW200308_173609,A,60.0,5000,5000,0.29777197748631556,0.1632609487257952,0.5482750596748078,0.061081004172233874,0.04975401996679257,0.04505344716966223,0.0595848353367431
GW200308_173609,A,60.0,20000,20000,0.29777197748631556,0.2977719774863152,0.9999999999999987,0.1351774493793251,0.10538281596287806,0.1002004055415544,0.10995677283246605
GW200220_061928,A,1.0,200,200,3.1051843665252945,0.08551970071403917,0.027540941412678765,0.0005604406445856451,0.0,0.0,0.0
GW200220_061928,A,1.0,5000,5000,3.1051843665252945,0.6444698954572614,0.20754641895174297,0.007800318565158437,0.0,0.0,3.152767047073305e-05
GW200220_061928,A,1.0,20000,20000,3.1051843665252945,1.611393694526655,0.5189365603852394,0.03061839022013236,0.0,0.0,5.181491813819585e-05
GW200220_061928,A,1.0,50000,50000,3.1051843665252945,2.587224252489141,0.8331950528864245,0.0625013191992586,9.240289618957985e-06,3.8907874508604406e-05,6.312035250138367e-05
GW200220_061928,A,1.0,100000,100000,3.1051843665252945,3.1051843665253145,1.0000000000000064,0.07865510713743072,9.240289618957985e-06,5.2523543222215716e-05,6.946082810613843e-05
