rep,truth_draw,delta_lpd_total,delta_lpd_data,delta_lpd_sel
45,171,3.192110432722302,2.229121712537676,0.9629887201846259
46,134,3.1846425048242963,2.2413886736599125,0.9432538311643839
47,165,3.6317081815301435,2.5400877494726615,1.091620432057482
48,65,3.559569134046683,2.5668499099438975,0.9927192241027853
49,157,3.4542473165255387,2.4437256537075314,1.0105216628180074
50,195,3.1795639644398648,2.2539923973704106,0.9255715670694542
51,98,3.504676132598263,2.4535076908292126,1.0511684417690503
52,117,3.5448943544312783,2.5257480297536574,1.019146324677621
53,255,3.2628177313733886,2.3104976407805964,0.9523200905927922
54,206,3.412567588057982,2.4411455497602788,0.9714220382977032
55,251,3.5938597470689047,2.527880671075536,1.0659790759933685
56,97,3.5964411975414805,2.522829505882328,1.0736116916591527
57,175,4.250147479116947,3.082147894128582,1.1679995849883653
58,243,3.652204497535479,2.5955947760733977,1.056609721462081
59,166,3.677536932293208,2.611725208108595,1.0658117241846128
60,215,3.4834134926998104,2.4629418256827194,1.020471667017091
61,176,3.4686878101706498,2.460922331743717,1.0077654784269328
62,180,4.908109606275559,3.561087843703831,1.3470217625717282
63,99,3.9018877940095535,2.8131824425909997,1.0887053514185538
64,224,3.3694234708590898,2.3368555116142034,1.0325679592448864
65,34,3.8406620472228497,2.7649669916616233,1.0756950555612264
66,148,3.4966203151103628,2.4629545210139554,1.0336657940964074
67,184,3.2433083895299433,2.301421634245486,0.9418867552844574
68,216,3.1711112296913484,2.2206935150676372,0.9504177146237112
69,134,3.8086290515498717,2.7308574697793517,1.07777158177052
70,96,3.765308051355646,2.6320761640540695,1.1332318873015765
71,79,3.5258012236453737,2.492343627855746,1.0334575957896277
72,108,3.634814346888959,2.6389292525408052,0.9958850943481536
73,124,3.4298159466371203,2.427554585373173,1.0022613612639475
74,184,3.780333332627947,2.682326182072927,1.09800715055502
75,227,3.102688371821955,2.1709303067526093,0.9317580650693458
76,18,3.290973100779354,2.30891524005645,0.9820578607229038
77,239,3.3901946476572107,2.4101810146192406,0.9800136330379701
78,136,3.351151911017041,2.3153683547303103,1.0357835562867308
79,91,3.2999767500643884,2.370211651568269,0.9297650984961194
80,172,3.2706120530950216,2.3325610516468487,0.9380510014481729
81,146,3.2080367426265752,2.2306271505308644,0.9774095920957109
82,65,3.261834774777583,2.3104443889967,0.9513903857808828
83,82,3.5819063454713955,2.5566158332603948,1.0252905122110008
84,184,3.637882974908564,2.614780282135598,1.0231026927729658
85,152,3.7317110332304537,2.6923392779503104,1.0393717552801434
86,129,3.21193562163603,2.2730970950741494,0.9388385265618808
87,86,3.504361577508462,2.4908155308753805,1.0135460466330812
88,194,3.5590618750231897,2.504862799093104,1.0541990759300859
89,100,3.4043119957293015,2.3881541150281294,1.0161578807011722
90,84,3.783462232791692,2.712080239945692,1.0713819928459998
91,227,3.4113000368795383,2.374835345987435,1.0364646908921031
92,67,3.791112897408368,2.698974256009393,1.092138641398975
93,58,3.6500685448119725,2.599616766103196,1.0504517787087764
94,182,4.113556345232723,2.976994319406515,1.1365620258262084
95,159,3.8039420360101985,2.7052900406450533,1.0986519953651452
96,12,3.261240910498657,2.3174503866115685,0.9437905238870883
