rep,group,n_ev,delta_lpd_total,delta_lpd_data,delta_lpd_sel
14,sky_small,18,-0.07999326509903426,-0.675100947588902,0.5951076824898678
14,sky_large,18,3.5002256793328854,2.9596679924856346,0.5405576868472508
15,dist_low,12,2.5609484043050514,2.278009077168349,0.28293932713670245
15,dist_mid,12,1.35830048883534,0.9531772443255164,0.4051232445098236
15,dist_high,12,0.593705543728376,0.13916505937716295,0.4545404843512131
15,sky_small,18,-0.1338620194350142,-0.7130728954144274,0.5792108759794132
15,sky_large,18,3.4366936835601933,2.8953023143510848,0.5413913692091086
16,dist_low,12,0.18905172125323588,-0.2602937431378507,0.4493454643910866
16,dist_mid,12,3.1503364232427202,2.821504628171134,0.32883179507158644
16,dist_high,12,0.49274797140446935,0.04589276965297984,0.4468552017514895
16,sky_small,18,0.11302166302834848,-0.4703531337625293,0.5833747967908778
16,sky_large,18,3.4783459179955827,2.938192811815128,0.5401531061804548
17,dist_low,12,2.525745779931711,2.2446854910413663,0.2810602888903446
17,dist_mid,12,0.09627992951283204,-0.33315853323270517,0.4294384627455372
17,dist_high,12,1.7958849530308072,1.366212994321856,0.42967195870895125
17,sky_small,18,0.0109806958274703,-0.5750095081228892,0.5859902039503595
17,sky_large,18,3.404501251324703,2.875401649892609,0.5290996014320939
18,dist_low,12,0.11433012301731083,-0.3271255098246115,0.44145563284192235
18,dist_mid,12,0.29517371671077797,-0.14868426228930787,0.44385797900008583
18,dist_high,12,3.369864104728663,3.0202099361987536,0.34965416852990927
18,sky_small,18,-0.05100403787471919,-0.6370804600076667,0.5860764221329475
18,sky_large,18,3.59648463855396,3.0313324090733715,0.5651522294805886
19,dist_low,12,0.09022516025517291,-0.35665964873989253,0.44688480899506544
19,dist_mid,12,1.4880208200733733,1.074830163242794,0.41319065683057943
19,dist_high,12,2.6879685008387355,2.3780758590703215,0.309892641768414
19,sky_small,18,-0.09681694557886544,-0.6972974803830709,0.6004805348042055
19,sky_large,18,3.518578704172114,2.9663362238982245,0.5522424802738897
20,dist_low,12,1.3954725846086404,1.003757678446803,0.39171490616183746
20,dist_mid,12,2.6735293214898377,2.3768459791603362,0.29668334232950144
20,dist_high,12,0.5181062301680441,0.06351639256901365,0.4545898375990305
20,sky_small,18,0.027162968085491457,-0.570025893002196,0.5971888610876874
20,sky_large,18,3.4373406283095136,2.9056640401406924,0.5316765881688212
21,dist_low,12,0.037077118874080384,-0.3951765511852585,0.4322536700593389
21,dist_mid,12,2.762961752941436,2.4634202741804927,0.2995414787609434
21,dist_high,12,1.529130227682785,1.1142720092818337,0.4148582184009513
21,sky_small,18,-0.04897808658233771,-0.6336852024228676,0.5847071158405299
21,sky_large,18,3.46841432226654,2.9250471655916073,0.5433671566749325
22,dist_low,12,2.6462754541634297,2.350931759313866,0.2953436948495636
22,dist_mid,12,1.3413516609920038,0.9439766199252375,0.39737504106676624
22,dist_high,12,0.1661075093045099,-0.2842196936461505,0.4503272029506604
22,sky_small,18,-0.17732858280612618,-0.7490954468050575,0.5717668639989313
22,sky_large,18,3.432689904060652,2.8948794256295116,0.5378104784311404
23,dist_low,12,0.13236095246733726,-0.3108997899356609,0.4432607424029982
23,dist_mid,12,0.2450703022928309,-0.21054466991738252,0.4556149722102134
23,dist_high,12,3.204873785217785,2.86522060316004,0.3396531820577451
23,sky_small,18,-0.06965012155276895,-0.6483802316221272,0.5787301100693583
23,sky_large,18,3.503245320079074,2.9556818187295164,0.5475635013495577
24,dist_low,12,0.011520259389456555,-0.43398263701668327,0.4455028964061398
24,dist_mid,12,2.5694522249705045,2.2894200354475345,0.28003218952297004
24,dist_high,12,1.9670797230481014,1.5309189361261133,0.4361607869219881
24,sky_small,18,-0.03310104389848334,-0.6361939068295044,0.603092862931021
24,sky_large,18,3.5686077480169303,3.011865846467117,0.5567419015498132
25,dist_low,12,0.16169666722959164,-0.2861203864382844,0.44781705366787605
25,dist_mid,12,1.5294242193997576,1.1166328608124303,0.4127913585873273
25,dist_high,12,2.861554311756322,2.532236783504885,0.3293175282514369
25,sky_small,18,0.15913310356830834,-0.4703939316725041,0.6295270352408124
25,sky_large,18,3.6294015765951855,3.0629482965351684,0.566453280060017
26,dist_low,12,2.6650628450183405,2.377057510243489,0.28800533477485146
26,dist_mid,12,1.4597025130077697,1.0495768402156358,0.41012567279213386
26,dist_high,12,0.19457771574809613,-0.2509609364908556,0.4455386522389517
26,sky_small,18,-0.04907148027015751,-0.6408230382329521,0.5917515579627945
26,sky_large,18,3.4007525968608405,2.869898903881378,0.5308536929794627
27,dist_low,12,0.2881464301985943,-0.16353493233158645,0.45168136253018076
27,dist_mid,12,2.5415977522222306,2.261513688530428,0.2800840636918025
27,dist_high,12,1.481761255381258,1.0662934908213373,0.41546776455992074
27,sky_small,18,-0.13532983332865456,-0.7057545428745868,0.5704247095459323
27,sky_large,18,3.466183862234729,2.9314411496241064,0.5347427126106226
28,dist_low,12,-0.1936675349738266,-0.6190908323138871,0.42542329734006046
28,dist_mid,12,2.572430656145258,2.286334274636431,0.2860963815088269
28,dist_high,12,1.8242089892253546,1.3961159383835593,0.4280930508417953
28,sky_small,18,-0.03891653462349609,-0.6360745286695533,0.5971579940460572
28,sky_large,18,3.4062263372867108,2.881954442385137,0.5242718949015739
29,dist_low,12,2.7724171527459873,2.48761650284564,0.2848006499003475
29,dist_mid,12,1.572326083099341,1.1573921053431349,0.4149339777562062
29,dist_high,12,0.32237743246335526,-0.12239164928679713,0.4447690817501524
29,sky_small,18,0.1462069114681981,-0.4713077532093166,0.6175146646775147
29,sky_large,18,3.3869305150598024,2.8604500161813036,0.5264804988784988
30,dist_low,12,0.17313224880362554,-0.2754393766529972,0.44857162545662277
30,dist_mid,12,3.2083706324164467,2.8632749345324555,0.3450956978839912
30,dist_high,12,0.20333381312511278,-0.23211550478956156,0.43544931791467434
30,sky_small,18,0.029366771230854738,-0.5732084915403277,0.6025752627711825
30,sky_large,18,3.4344675897783645,2.9041220826427434,0.5303455071356211
31,dist_low,12,0.12018556846051354,-0.3211645015481537,0.4413500700086672
31,dist_mid,12,1.490721014204368,1.0801263773922898,0.4105946368120783
31,dist_high,12,2.674005564187496,2.357276023392373,0.31672954079512294
31,sky_small,18,0.07621751828833112,-0.5159257427716,0.5921432610599311
31,sky_large,18,3.509782353025699,2.963055400499954,0.546726952525745
32,dist_low,12,2.670036618914949,2.389656494210328,0.2803801247046209
32,dist_mid,12,0.17470195467569738,-0.2784808316521179,0.4531827863278153
32,dist_high,12,1.6317755398738285,1.2163896813695345,0.415385858504294
32,sky_small,18,0.06328399426385545,-0.5340175657262876,0.597301559990143
32,sky_large,18,3.4577329772155707,2.916597829917791,0.5411351472977799
33,dist_low,12,0.11516431711487485,-0.33066672496721594,0.4458310420820908
33,dist_mid,12,-0.011743925868159977,-0.4441908914681818,0.4324469656000218
33,dist_high,12,3.5483147094029164,3.1781089144941035,0.3702057949088129
33,sky_small,18,0.27787661486939896,-0.3478219861960099,0.6256986010654089
33,sky_large,18,3.5560814941622283,3.009818402655199,0.5462630915070292
34,dist_low,12,1.657657823371693,1.2443413884779915,0.4133164348937015
34,dist_mid,12,0.04998768692315991,-0.39140906956619403,0.44139675648935395
34,dist_high,12,2.6091979494064788,2.2999948178937046,0.3092031315127741
34,sky_small,18,-0.06684621072275831,-0.6491040397775407,0.5822578290547824
