rep,group,n_ev,delta_lpd_total,delta_lpd_data,delta_lpd_sel
8,dist_high,12,1.692548336727853,1.186740713930078,0.505807622797775
8,sky_small,18,0.7726383891167643,0.09203216965914862,0.6806062194576157
8,sky_large,18,3.7510810892348303,3.166893640479799,0.5841874487550314
9,dist_low,12,0.06854258447950201,-0.3717199310591326,0.4402625155386346
9,dist_mid,12,2.4769041762818063,2.20195367117158,0.2749505051102261
9,dist_high,12,2.0352294836706903,1.6209282081382455,0.4143012755324449
9,sky_small,18,0.3692430131046933,-0.19687084012545597,0.5661138532301493
9,sky_large,18,3.492796432729051,2.940364136216317,0.552432296512734
10,dist_low,12,0.1259033527987583,-0.312525527324226,0.4384288801229843
10,dist_mid,12,0.21424876404805104,-0.2205482529460454,0.43479701699409645
10,dist_high,12,3.3215558232073903,2.9699142366618787,0.3516415865455116
10,sky_small,18,-0.16213677842367247,-0.7398976135249029,0.5777608351012304
10,sky_large,18,3.4982284536892365,2.9402325543605485,0.557995899328688
11,dist_low,12,2.4868472257409024,2.2191603730341143,0.26768685270678816
11,dist_mid,12,1.596991043744481,1.175995825142408,0.4209952186020729
11,dist_high,12,0.7537856182750033,0.27161520246067994,0.4821704158143234
11,sky_small,18,-0.025538662335520712,-0.6171455315379433,0.5916068692024226
11,sky_large,18,3.613301562905221,3.0472675889953678,0.5660339739098532
12,dist_low,12,-0.11161971678325244,-0.5481051146521878,0.43648539786893537
12,dist_mid,12,2.6301580986207114,2.3339777464397997,0.29618035218091165
12,dist_high,12,1.5415061153431537,1.1237882680400588,0.4177178473030949
12,sky_small,18,-0.20297065107766343,-0.7829056474133154,0.5799349963356519
12,sky_large,18,3.405654776147699,2.8746556319516685,0.5309991441960307
13,dist_low,12,3.378296357323734,3.0470722386906033,0.3312241186331306
13,dist_mid,12,-0.021867607119062882,-0.4426154715088302,0.4207478643897673
13,dist_high,12,1.0155701204074887,0.5369672763136322,0.47860284409385656
13,sky_small,18,0.266838895764721,-0.35291521906850676,0.6197541148332277
13,sky_large,18,3.6370320780777092,3.075072256970472,0.5619598211072372
14,dist_low,12,2.836695734638454,2.5434829601440185,0.2932127744944353
14,dist_mid,12,1.3674079790977487,0.9622081578686874,0.4051998212290613
14,dist_high,12,0.7332903085811182,0.27684670410201306,0.45644360447910515
14,sky_small,18,0.4509276072378725,-0.1687493758182228,0.6196769830560953
14,sky_large,18,3.4781921536093137,2.9319995164754573,0.5461926371338564
