rep,truth_draw,delta_lpd_total,delta_lpd_data,delta_lpd_sel
78,94,3.1230972068603364,2.1618132210002443,0.9612839858600921
79,15,3.1493077200184985,2.211131080421751,0.9381766395967475
80,117,3.255117787809752,2.273416030566324,0.9817017572434281
81,164,3.1961408074554356,2.210116951526004,0.9860238559294316
82,197,3.407802602335721,2.3815600057272377,1.0262425966084834
83,218,3.272072157001503,2.3058657269855303,0.9662064300159727
84,55,3.2406251865978675,2.2701128429742425,0.9705123436236249
85,151,3.449493501520692,2.473201431884803,0.976292069635889
86,205,3.477190894654939,2.460891925136508,1.0162989695184308
87,66,3.4600907692352507,2.447776848310639,1.012313920924612
88,88,3.181813027033911,2.218499610656181,0.9633134163777299
89,215,3.2267582799098022,2.2681385605612547,0.9586197193485475
90,148,3.328945518135015,2.3775301497873897,0.9514153683476252
91,130,3.4619290983038127,2.533829347237287,0.9280997510665259
92,172,3.590446577082048,2.6347995343096215,0.9556470427724264
93,130,3.2604241906698235,2.3142874340807396,0.9461367565890839
94,251,3.1205121731982217,2.1836279581964106,0.9368842150018111
95,192,3.2751478563560568,2.3669963411260255,0.9081515152300312
96,13,3.264212217261843,2.281358221704636,0.9828539955572069
97,37,3.191523015224675,2.292585154489359,0.898937860735316
98,139,3.4487128995116336,2.4529832055801535,0.9957296939314801
99,209,3.101087106655825,2.1670305063883575,0.9340566002674677
100,17,3.232000133459053,2.244896329609702,0.9871038038493509
101,174,3.2459241656973177,2.301556533486348,0.9443676322109695
102,194,3.5143548709454535,2.51210825762945,1.0022466133160037
103,201,3.1474333339865552,2.162911392430402,0.984521941556153
104,223,3.333238645469862,2.3757980549444824,0.9574405905253798
105,49,2.988585752907909,2.0637338389523165,0.9248519139555924
106,142,3.1322835714682356,2.1974783351023177,0.9348052363659178
107,205,3.406757542496109,2.4267897356695016,0.9799678068266076
108,91,3.2957491594436874,2.3720481819128167,0.9237009775308707
109,48,3.353684054117082,2.3764150620875455,0.9772689920295363
110,122,3.5284146907718537,2.504843443194517,1.0235712475773369
111,20,3.221494357483323,2.254612016498129,0.9668823409851939
112,56,3.3618037719548965,2.417315143159925,0.9444886287949714
113,218,3.210582614472912,2.254159278969098,0.9564233355038141
114,170,3.5312009025666953,2.601729682166223,0.9294712204004725
115,220,3.815031147140985,2.68689719389846,1.128133953242525
116,215,3.4587539439830834,2.521436544715783,0.9373173992673003
117,224,3.2871872747666657,2.3279356743338724,0.9592516004327933
118,79,3.3628474212450215,2.361597756076634,1.0012496651683875
119,120,3.267881196436747,2.3073002906653812,0.9605809057713657
120,158,3.127151365745533,2.199475663303673,0.92767570244186
121,70,3.3997712480353925,2.4259460521183485,0.9738251959170441
122,235,3.4568350985294387,2.5102742047805293,0.9465608937489094
123,1,3.4444921339664916,2.4304872344655735,1.014004899500918
124,214,3.3558713724275435,2.3798347455273756,0.9760366269001679
