beta_ia,beta_cc,delta_h0_ladder,beta_bao,logZ,posterior_weight,relief_mean,relief_sd,mean_abs_delta_sn,mean_abs_delta_cc,mean_abs_delta_bao,mean_abs_delta_local
-0.0801350796,-0.0606107349,0.196732712,-0.0148401248,17.1095163,0.0106220334,0.871103783,0.103259919,2.14182555,0.116050095,0.370969425,0.151914876
0.0133399415,-0.253971899,-0.0507690767,-0.0549938917,14.5725339,0.000840253217,0.876792498,0.119690681,0.079976272,0.366258011,0.690823985,0.034411213
-0.0630811891,0.31509702,0.995439899,-0.0287050885,15.1741718,0.00153355093,0.825793199,0.122625026,1.05140402,1.24082016,0.492892175,1.337356
-0.00356354031,-0.221690019,-0.43089318,0.0111488172,15.4050696,0.00193186096,0.868757421,0.102962176,0.0625516375,0.414233318,0.358481133,0.275274536
0.0237024865,-0.0855038713,0.472623131,-0.0432183526,15.1997084,0.00157321695,0.858132552,0.126937893,0.236709777,0.172099783,0.647199886,0.426368844
-0.0207426881,-0.132296216,2.60178026,-0.0215649348,16.7995804,0.00779119683,0.864408303,0.100618872,0.280555448,0.304947651,0.400642981,3.70613287
0.004885825,-0.0826507869,-0.0697567797,0.0169013843,15.2283074,0.0016188589,0.864572735,0.11805094,0.0921398098,0.210594951,0.600905792,0.0520398336
-0.0820208918,0.0185955853,-0.553027691,-0.040148167,15.1171554,0.00144855935,0.815985285,0.115736619,1.3943747,0.0562401028,0.863244332,0.46706683
-0.0428629412,-0.151519413,-0.941248525,0.0260769747,14.8279293,0.00108474336,0.838404598,0.106523339,0.80449353,0.36698572,0.979855568,0.677357244
0.0344140894,-0.0472259823,0.89360757,0.0109855224,15.3268316,0.00178647739,0.833233667,0.109447506,0.506345657,0.0826095244,0.288164003,1.00288467
-0.0577264792,0.344892086,0.145610698,-0.0166260225,14.4057635,0.000711185198,0.805335301,0.133484512,1.04622234,1.77243809,0.27036891,0.166778017
