H0_true,H0_inferred_gr,delta_H0_inferred_minus_true,omega_m_true,omega_m_assumed,omega_k_true,r_d_true,r_d_assumed,theta_star_true,theta_star_obs,A_lens_true,A_lens_obs,relief_fraction,rd_shift_needed_frac_for_H0local
6.525166726041062759e+01,7.293158448092121660e+01,7.679917220510589004e+00,3.573454118573035077e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.561752611281812335e+02,1.470900000000000034e+02,1.146758903352638505e-02,1.146758903352638505e-02,9.412776844812981158e-01,9.412776844812981158e-01,9.877829430216458206e-01,-9.297616221114468615e-04
7.364838331026753337e+01,7.513615897985191339e+01,1.487775669584380012e+00,3.760318018773018967e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.397575979152736352e+02,1.470900000000000034e+02,1.181150886072107088e-02,1.181150886072107088e-02,9.675167408267051350e-01,9.675167408267051350e-01,6.185430393121579273e-01,2.903295004585415562e-02
7.299124800436334226e+01,7.496918951575126755e+01,1.977941511387925289e+00,3.835833541813833403e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.395738054291661854e+02,1.470900000000000034e+02,1.178545895072602781e-02,1.178545895072602781e-02,9.473486168497696758e-01,9.473486168497696758e-01,6.483590150444161759e-01,2.676345035307825526e-02
7.104947289267622068e+01,7.286594349431877049e+01,1.816470601642549809e+00,3.868471225171888905e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.388960933622043967e+02,1.470900000000000034e+02,1.145734984220771711e-02,1.145734984220771711e-02,9.573607476946340844e-01,9.573607476946340844e-01,9.760613382712090003e-01,-1.821812364567576559e-03
6.845014970620758277e+01,7.605805379743910066e+01,7.607904091231517896e+00,3.973937835502456828e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.487752094621362744e+02,1.470900000000000034e+02,1.195534550115100181e-02,1.195534550115100181e-02,9.344062695669780316e-01,9.344062695669780316e-01,4.539189647430171837e-01,4.156417227763098410e-02
6.523842881796015547e+01,6.883066336709926247e+01,3.592234549139107003e+00,3.093845270844877704e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.562257023109611964e+02,1.470900000000000034e+02,1.082801298066641583e-02,1.082801298066641583e-02,1.010509344225856365e+00,1.010509344225856365e+00,2.554756012677247279e-01,-5.665040156861522735e-02
7.455396008177476119e+01,7.299852807429266477e+01,-1.555432007482096424e+00,3.613970348101491203e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.363332764255037546e+02,1.470900000000000034e+02,1.147803147574931286e-02,1.147803147574931286e-02,9.214075836785544649e-01,9.214075836785544649e-01,9.997371561236901849e-01,-2.000341483643364171e-05
7.074186544152442480e+01,7.077930631945430662e+01,3.744087792988182173e-02,3.358128092165761358e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.434557581195709304e+02,1.470900000000000034e+02,1.113189115543212343e-02,1.113189115543212343e-02,9.708596448777288002e-01,9.708596448777288002e-01,6.034475570454114202e-01,-3.017616713159210207e-02
6.933126865337288791e+01,6.920441131824291858e+01,-1.268573351299693286e-01,3.280741729012706109e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.444612857662819749e+02,1.470900000000000034e+02,1.088629208376607448e-02,1.088629208376607448e-02,9.921420193209040672e-01,9.921420193209040672e-01,3.222163068290919696e-01,-5.157305555839442057e-02
6.894905284659789402e+01,6.831934682763623812e+01,-6.297060189616559001e-01,2.980889278796521324e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.489920080935849853e+02,1.470900000000000034e+02,1.074828611299052938e-02,1.074828611299052938e-02,9.528809473352064519e-01,9.528809473352064519e-01,1.641690763636131090e-01,-6.359630279172323597e-02
7.312143751621175625e+01,7.443580385187054560e+01,1.314366335658789353e+00,3.628856161101225442e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.414669547728858277e+02,1.470900000000000034e+02,1.170224462682583830e-02,1.170224462682583830e-02,1.075625906730801162e+00,1.075625906730801162e+00,7.436064550231166193e-01,1.951371772206411670e-02
