H0_true,H0_inferred_gr,delta_H0_inferred_minus_true,omega_m_true,omega_m_assumed,omega_k_true,r_d_true,r_d_assumed,theta_star_true,theta_star_obs,A_lens_true,A_lens_obs,relief_fraction,rd_shift_needed_frac_for_H0local
6.834251167475530053e+01,7.612428672100666915e+01,7.781775046251368622e+00,3.895370752673026349e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.503424477641703163e+02,1.470900000000000034e+02,1.196567975436414744e-02,1.196567975436414744e-02,9.438144656861475745e-01,9.438144656861475745e-01,4.420916569630942705e-01,4.246450492740860838e-02
7.206926788220056324e+01,6.734970697656908101e+01,-4.719560905631482228e+00,3.036388430965192842e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.395645944714056270e+02,1.470900000000000034e+02,1.059710673807423911e-02,1.059710673807423911e-02,9.155280115995833023e-01,9.155280115995833023e-01,-8.980897041236612921e-03,-7.676723294049847546e-02
6.815320635939835370e+01,7.460156429287521007e+01,6.448357933476856374e+00,3.731163805686690260e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.503478375381585579e+02,1.470900000000000034e+02,1.172810477952114343e-02,1.172810477952114343e-02,9.617762291233231675e-01,9.617762291233231675e-01,7.140063762722836938e-01,2.176668552918137323e-02
6.938614727670278626e+01,7.388014050293048740e+01,4.493993226227701143e+00,3.669631531353993448e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.472598442386840247e+02,1.470900000000000034e+02,1.161555863537179836e-02,1.161555863537179836e-02,9.258809278913829877e-01,9.258809278913829877e-01,8.428320530481270279e-01,1.196152921122584090e-02
7.556809364593057410e+01,7.183294790752941594e+01,-3.735145738401158155e+00,3.608457541651544087e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.324662280506622949e+02,1.470900000000000034e+02,1.129622295397916289e-02,1.129622295397916289e-02,9.911525232633970894e-01,9.911525232633970894e-01,7.915978406302526249e-01,-1.585938191479829840e-02
6.765466387310553387e+01,7.108387308989031794e+01,3.429209216784784076e+00,3.397173829486140328e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.498926048736066718e+02,1.470900000000000034e+02,1.117939144619955680e-02,1.117939144619955680e-02,9.538951437457247051e-01,9.538951437457247051e-01,6.578344803375564265e-01,-2.603788429975217866e-02
7.162985039810169496e+01,7.580782041447571373e+01,4.177970016374018769e+00,3.769743967696224107e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.447977627517117014e+02,1.470900000000000034e+02,1.191630233673731006e-02,1.191630233673731006e-02,9.680605776334730850e-01,9.680605776334730850e-01,4.986034974150506116e-01,3.816268453127280580e-02
7.007348699830185978e+01,7.748626645372222299e+01,7.412779455420363206e+00,3.833510789251881046e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.502254254490261189e+02,1.470900000000000034e+02,1.217819975451244104e-02,1.217819975451244104e-02,9.904104288598898354e-01,9.904104288598898354e-01,1.988809904067451173e-01,6.097950460061651867e-02
7.303453179082248425e+01,6.784902718456265802e+01,-5.185504606259826232e+00,3.207378223230148984e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.357505979628837167e+02,1.470900000000000034e+02,1.067495532035891981e-02,1.067495532035891981e-02,9.996436658363778704e-01,9.996436658363778704e-01,8.018342581475945696e-02,-6.998497021437954935e-02
7.172394803533298102e+01,7.549256079046514856e+01,3.768612755132167536e+00,3.807496326676892417e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.434353717530433414e+02,1.470900000000000034e+02,1.186711442535446324e-02,1.186711442535446324e-02,1.000577833267015437e+00,1.000577833267015437e+00,5.548998588455087422e-01,3.387737414851477169e-02
7.347689450414661394e+01,6.942300589642272257e+01,-4.053888607723891369e+00,3.203243477752014123e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.381130744497435501e+02,1.470900000000000034e+02,1.092037887347555719e-02,1.092037887347555719e-02,9.754997484628011861e-01,9.754997484628011861e-01,3.612510529326283804e-01,-4.860337317607099639e-02
7.002653427493865479e+01,7.011486897877971103e+01,8.833470384105623907e-02,3.207098780083209588e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.462231345394392008e+02,1.470900000000000034e+02,1.102827008721899739e-02,1.102827008721899739e-02,9.872853749450943850e-01,9.872853749450943850e-01,4.847980319249478587e-01,-3.920376002997694176e-02
7.057169819482663797e+01,7.194457108546859558e+01,1.372872890641957611e+00,3.467479716686829860e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.442839537111147479e+02,1.470900000000000034e+02,1.131363324897919319e-02,1.131363324897919319e-02,8.642897206203907778e-01,8.642897206203907778e-01,8.115305509765347036e-01,-1.434257593883792037e-02
6.930535804174807879e+01,7.591585581302121000e+01,6.610497771273131207e+00,3.958750296585033523e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.469062552085202071e+02,1.470900000000000034e+02,1.193315868145363411e-02,1.193315868145363411e-02,9.350330898976269012e-01,9.350330898976269012e-01,4.793114619604976756e-01,3.963122968794707823e-02
7.207814076492054767e+01,7.007521202261314386e+01,-2.002928742307403809e+00,3.360496011951170647e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.393882766961342554e+02,1.470900000000000034e+02,1.102208566797008467e-02,1.102208566797008467e-02,9.117091244961202934e-01,9.117091244961202934e-01,4.777164326094894831e-01,-3.974255412132221554e-02
7.159672064753758036e+01,6.498228153331726276e+01,-6.614439114220317606e+00,2.557675893592205596e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.451115397583591289e+02,1.470900000000000034e+02,1.022806012585617680e-02,1.022806012585617680e-02,1.017088733214113860e+00,1.017088733214113860e+00,-4.317354404790616496e-01,-1.089190205362449149e-01
7.368937264436704027e+01,7.074106026768203037e+01,-2.948312376685009895e+00,3.349045778032049281e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.378358910930316483e+02,1.470900000000000034e+02,1.112592638914399606e-02,1.112592638914399606e-02,9.376088250799768931e-01,9.376088250799768931e-01,5.966179049432193127e-01,-3.069582479109889128e-02
6.923932421392566994e+01,7.341043979615403714e+01,4.171115582228367202e+00,3.736745241474023760e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.455743991217523217e+02,1.470900000000000034e+02,1.154228636759523259e-02,1.154228636759523259e-02,1.024394477445600193e+00,1.024394477445600193e+00,9.267071792582075584e-01,5.577960544786542130e-03
