H0_true,H0_inferred_gr,delta_H0_inferred_minus_true,omega_m_true,omega_m_assumed,omega_k_true,r_d_true,r_d_assumed,theta_star_true,theta_star_obs,A_lens_true,A_lens_obs,relief_fraction,rd_shift_needed_frac_for_H0local
6.993270548871284120e+01,7.518029186747988035e+01,5.247586378767039150e+00,3.808450043909882843e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.464648226794904815e+02,1.470900000000000034e+02,1.181839435676594954e-02,1.181839435676594954e-02,8.815951908024792782e-01,8.815951908024792782e-01,6.106621665214495565e-01,2.963282279633339122e-02
7.030141594813895267e+01,6.611642287252293215e+01,-4.184993075616020519e+00,3.022079289841542726e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.407123868196202920e+02,1.470900000000000034e+02,1.040484407999258364e-02,1.040484407999258364e-02,1.044914975199319862e+00,1.044914975199319862e+00,-2.292102013351919876e-01,-9.351738845088819474e-02
7.501889511013102663e+01,7.075585868629454467e+01,-4.263036423836481958e+00,3.315615382645338283e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.359835604166488565e+02,1.470900000000000034e+02,1.112823431395514560e-02,1.112823431395514560e-02,9.053500883299241409e-01,9.053500883299241409e-01,5.992604796954539292e-01,-3.049475558775605055e-02
6.579417917907244373e+01,7.238927746008262432e+01,6.595098281010180585e+00,3.813076261662655120e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.498005010560569872e+02,1.470900000000000034e+02,1.138299753329733918e-02,1.138299753329733918e-02,1.094494589475283997e+00,1.094494589475283997e+00,8.909424035861828184e-01,-8.299475521998944672e-03
7.104071461100059537e+01,7.431365324696805885e+01,3.272938635967463483e+00,3.708523252962953043e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.440804217732252255e+02,1.470900000000000034e+02,1.168318823646914695e-02,1.168318823646914695e-02,9.666200213671424235e-01,9.666200213671424235e-01,7.654190630414178242e-01,1.785350192599555186e-02
7.102262424037500921e+01,7.688334876007746743e+01,5.860724519702458224e+00,3.990833530370566651e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.447194596013926571e+02,1.470900000000000034e+02,1.208411920826145229e-02,1.208411920826145229e-02,8.627607488839431626e-01,8.627607488839431626e-01,3.065448642718801020e-01,5.278309352459187309e-02
7.253357639911217802e+01,7.401069615268784219e+01,1.477119753575664163e+00,3.696892426947617216e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.407422478493548681e+02,1.470900000000000034e+02,1.163592554405955791e-02,1.163592554405955791e-02,9.549781777717150089e-01,9.549781777717150089e-01,8.195185441628851652e-01,1.373591895070913615e-02
7.376508694020017742e+01,6.511531645675306379e+01,-8.649770483447113634e+00,2.737542194914570071e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.374351233203677225e+02,1.470900000000000034e+02,1.024879574304185872e-02,1.024879574304185872e-02,9.690041440384055127e-01,9.690041440384055127e-01,-4.079792041512400047e-01,-1.071125084660926596e-01
6.942125647922603093e+01,7.406760267331367231e+01,4.646346194087641379e+00,3.629076367293982974e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.482166592119613142e+02,1.470900000000000034e+02,1.164480313025529137e-02,1.164480313025529137e-02,9.165355563052318688e-01,9.165355563052318688e-01,8.093566654797011983e-01,1.450934500660139292e-02
7.021210500703097068e+01,7.049975416867350475e+01,2.876491616425340681e-01,3.220455582856757148e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.463907658002952132e+02,1.470900000000000034e+02,1.108829333747017760e-02,1.108829333747017760e-02,9.725814123771874264e-01,9.725814123771874264e-01,5.535275301202682297e-01,-3.397446180858598730e-02
6.973775432238943495e+01,7.410967175498541337e+01,4.371917432595978426e+00,3.659328330229605353e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.471407230926041620e+02,1.470900000000000034e+02,1.165136605912825071e-02,1.165136605912825071e-02,1.046980878123550562e+00,1.046980878123550562e+00,8.018443294668902155e-01,1.508111531458800059e-02
7.127322819230950302e+01,7.408335526245720359e+01,2.810127070147700579e+00,3.768108982672294660e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.422566646394607801e+02,1.470900000000000034e+02,1.164726058841976733e-02,1.164726058841976733e-02,1.004317914241121379e+00,1.004317914241121379e+00,8.065437031326420092e-01,1.472344173669948297e-02
6.821687690225394363e+01,6.966472945264693806e+01,1.447852550392994431e+00,3.105909758593734526e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.510291342958287828e+02,1.470900000000000034e+02,1.095807315324816983e-02,1.095807315324816983e-02,9.734637771092082836e-01,9.734637771092082836e-01,4.044159736869525901e-01,-4.531940189249883399e-02
6.885926275119686579e+01,7.267721401662744540e+01,3.817951265430579610e+00,3.718744782241930613e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.452031380640752616e+02,1.470900000000000034e+02,1.142791067789862385e-02,1.142791067789862385e-02,1.025999978864489126e+00,1.025999978864489126e+00,9.423596458263294728e-01,-4.386587995953039609e-03
6.949413243693189202e+01,7.362387876049888291e+01,4.129746323566990895e+00,3.591356279037028476e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.478009127781861878e+02,1.470900000000000034e+02,1.157558200990243744e-02,1.157558200990243744e-02,8.868629048831102590e-01,8.868629048831102590e-01,8.885930784823422579e-01,8.478717207721864213e-03
7.249966868267719633e+01,7.043020622477979487e+01,-2.069462457897401464e+00,3.342047300049479919e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.395871441846249468e+02,1.470900000000000034e+02,1.107744710055199276e-02,1.107744710055199276e-02,9.261938948473823485e-01,9.261938948473823485e-01,5.411082544249629089e-01,-3.491939909851449197e-02
7.395818039775045349e+01,6.629853717394625789e+01,-7.659643223804195600e+00,2.853326595513753228e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.372753035705909497e+02,1.470900000000000034e+02,1.043323315932636990e-02,1.043323315932636990e-02,9.716224981063603661e-01,9.716224981063603661e-01,-1.966897903667408354e-01,-9.104409749370312444e-02
6.911729554481595983e+01,6.983920747384937044e+01,7.219119290334106154e-01,3.459485433297417867e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.431534268570180473e+02,1.470900000000000034e+02,1.098528173866172332e-02,1.098528173866172332e-02,9.866129288387777141e-01,9.866129288387777141e-01,4.355727631873870243e-01,-4.294895699465928196e-02
7.205593031968031426e+01,7.458930113483030766e+01,2.533370815149993405e+00,3.943298254960263538e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.391035231014459157e+02,1.470900000000000034e+02,1.172619160201303357e-02,1.172619160201303357e-02,8.647854535586848579e-01,8.647854535586848579e-01,7.161962259231591243e-01,2.160000718873011927e-02
7.010669777970780103e+01,5.923260780003887049e+01,-1.087408997966893054e+01,2.128910011193020091e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.452499474089422051e+02,1.470900000000000034e+02,9.332202199501316020e-03,9.332202199501316020e-03,1.026760506607993673e+00,1.026760506607993673e+00,-1.458462892850204362e+00,-1.869672475366542796e-01
7.300716075961871354e+01,6.757841655379678514e+01,-5.428744205821928404e+00,3.031084020926280154e-01,3.150000000000000022e-01,0.000000000000000000e+00,1.383463218972698598e+02,1.470900000000000034e+02,1.063276414932906068e-02,1.063276414932906068e-02,9.515685860342086855e-01,9.515685860342086855e-01,3.186009889228202940e-02,-7.366071610787194857e-02
